CPF/CNPJ,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_UE,NM_UE,SG_PARTIDO,DS_CARGO,DS_OCUPACAO,SUM de Valor do Auto,COUNTA de Valor do Auto
x,JULIO CESAR COCHIMANSKI,JULIO,PR,PARANÁ,PATRIOTA,DEPUTADO ESTADUAL,ENGENHEIRO,51500,1
x,CANDIDO HONORIO FERREIRA FILHO,CÂNDIDO HONÓRIO,AM,AMAZONAS,AGIR,1º SUPLENTE,ADVOGADO,50500,1
x,GIOVANNI CORREA QUEIROZ,GIOVANNI QUEIROZ,PA,PARÁ,PDT,DEPUTADO FEDERAL,MÉDICO,50240,3
x,RAIMUNDO ANCELMO LIMA MORORO,ANCELMO MORORO,CE,CEARÁ,AVANTE,DEPUTADO FEDERAL,EMPRESÁRIO,50000,1
x,MARCOS ROBERIO RIBEIRO MONTEIRO,ROBÉRIO MONTEIRO,CE,CEARÁ,PDT,DEPUTADO FEDERAL,EMPRESÁRIO,49380,7
x,JOSE SEBBA JUNIOR,SEBBINHA,GO,GOIÁS,PATRIOTA,DEPUTADO ESTADUAL,PECUARISTA,46000,2
x,JOSE JUAREZ LEITAO DOS SANTOS,JUAREZ LEITÃO,AC,ACRE,PSD,DEPUTADO FEDERAL,OUTROS,45000,1
x,THIAGO ARAUJO,THIAGO ARAUJO,PA,PARÁ,CIDADANIA,DEPUTADO ESTADUAL,DEPUTADO,44400,1
x,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,IRACEMA PORTELLA,PI,PIAUÍ,PP,VICE-GOVERNADOR,EMPRESÁRIO,40000,1
x,JOSE EUGENIO DE PAIVA,DR. EUGÊNIO,MT,MATO GROSSO,PSB,DEPUTADO ESTADUAL,DEPUTADO,35050,4
x,ANIBAL FERREIRA GOMES,ANÍBAL GOMES,CE,CEARÁ,PSDB,DEPUTADO FEDERAL,ODONTÓLOGO,35000,1
x,JAIME MAXIMINO BAGATTOLI,JAIME BAGATTOLI,RO,RONDÔNIA,PL,SENADOR,EMPRESÁRIO,33800,4
x,ROSANI TEREZINHA PIRES DA COSTA DONADON,ROSANI DONADON,RO,RONDÔNIA,PSD,DEPUTADO FEDERAL,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",30500,2
x,VILMAR ALVES DE OLIVEIRA,VILMAR,TO,TOCANTINS,SOLIDARIEDADE,DEPUTADO ESTADUAL,DEPUTADO,29100,1
x,JOSE ESTHEFAN BARBARY FILHO,ZEZINHO BARBARY,AC,ACRE,PP,DEPUTADO FEDERAL,COMERCIANTE,27400,2
x,MARCELO DE CARVALHO MIRANDA,MARCELO MIRANDA,TO,TOCANTINS,MDB,DEPUTADO ESTADUAL,EMPRESÁRIO,"27344,5",2
x,SEVERIANO ALVES DE SOUZA,SEVERIANO ALVES,BA,BAHIA,PTB,DEPUTADO FEDERAL,ADVOGADO,27000,1
x,ANDRE TAVARES RUBIM DE TOLEDO,ANDRE TOLEDO,MT,MATO GROSSO,DC,DEPUTADO ESTADUAL,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",26393,1
x,WEYKLEN COELHO TEIXEIRA,KEKE TEIXEIRA,MA,MARANHÃO,MDB,DEPUTADO ESTADUAL,COMERCIANTE,26000,1
x,NELSON NED PREVIDENTE,NELSON BARBUDO,MT,MATO GROSSO,PL,DEPUTADO FEDERAL,PRODUTOR AGROPECUÁRIO,25500,1
x,EMANUEL TELES OLIVEIRA,EMANUEL OLIVEIRA,SE,SERGIPE,PV,2º SUPLENTE,EMPRESÁRIO,25000,1
x,JOSENIL COSTA CHAVES,ZENIL,AC,ACRE,PL,DEPUTADO ESTADUAL,PRODUTOR AGROPECUÁRIO,24400,2
x,ELIANE HELLER,ELIANE HELLER,MT,MATO GROSSO,PTB,DEPUTADO ESTADUAL,EMPRESÁRIO,22500,1
x,FABIO GONCALVES CARDOSO,FABIO CARDOSO,RR,RORAIMA,PODE,1º SUPLENTE,COMERCIANTE,21000,1
x,FRANZ ARAUJO HACKER,FRANCE HACKER,PE,PERNAMBUCO,PSB,DEPUTADO ESTADUAL,ADMINISTRADOR,21000,3
x,MARIA DAS GRACAS MELO DO ESPIRITO SANTO,DRA. GRAÇA MELO,BA,BAHIA,SOLIDARIEDADE,DEPUTADO ESTADUAL,MÉDICO,20000,1
x,HENRIQUE SAVIO PEREIRA PONTES,SÁVIO PONTES,CE,CEARÁ,PSD,DEPUTADO ESTADUAL,EMPRESÁRIO,17568,2
x,CARLOS JOSE RIBEIRO SILVA,CARLOS RIBEIRO,PI,PIAUÍ,REPUBLICANOS,DEPUTADO ESTADUAL,EMPRESÁRIO,17150,3
