CPF/CNPJ,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_UE,NM_UE,SG_PARTIDO,DS_CARGO,DS_OCUPACAO,SUM de Valor do Auto,COUNTA de Valor do Auto
x,HAMILTON INACIO CARNEIRO,HAMILTON CARNEIRO,GO,GOIÁS,PSD,DEPUTADO FEDERAL,PUBLICITÁRIO,1500,1
x,JOSE ALTAIR PESCHISKI,ZECA PESCHISKI DO CAMPO,SC,SANTA CATARINA,AVANTE,DEPUTADO FEDERAL,EMPRESÁRIO,1500,1
x,MAURO THRONICKE RODRIGUES,MAURO THRONICKE,MS,MATO GROSSO DO SUL,UNIÃO,DEPUTADO ESTADUAL,EMPRESÁRIO,1450,1
x,MARCIO MIGUEL BITTAR,MARCIO BITTAR,AC,ACRE,UNIÃO,GOVERNADOR,SENADOR,1330,1
x,JACKSON SILVA AYRES,JACKSON AYRES,BA,BAHIA,PL,DEPUTADO ESTADUAL,PRODUTOR AGROPECUÁRIO,1248,1
x,ALOISIO ANDRADE DE PAULA,ALOISIO ANDRADE DE PAULA,MG,MINAS GERAIS,PSD,DEPUTADO ESTADUAL,SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA,1098,2
x,LUIZ ANTONIO TEOFILO ROSA,LUIZ TEÓFILO,GO,GOIÁS,REPUBLICANOS,DEPUTADO ESTADUAL,ADVOGADO,1000,1
x,WALTER CORREIA DE BRITO FILHO,WALTER BRITO,PB,PARAÍBA,DC,DEPUTADO ESTADUAL,EMPRESÁRIO,1000,1
x,RAIMUNDO MAGALHAES COSTA,RAIMUNDO COSTA,BA,BAHIA,PODE,DEPUTADO FEDERAL,APOSENTADO (EXCETO SERVIDOR PÚBLICO),1000,1
x,REINALDO DA SILVA OLIVEIRA,REINALDO DA REI RELOGIOS,MG,MINAS GERAIS,PROS,DEPUTADO ESTADUAL,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,1000,1
x,LEANDRO RAUL RYMSZA,LEANDRO RAUL,PA,PARÁ,PP,2º SUPLENTE,EMPRESÁRIO,863,1
x,FABIO JOSE DE OLIVEIRA,FÁBIO AVELAR,MG,MINAS GERAIS,AVANTE,DEPUTADO ESTADUAL,DEPUTADO,800,1
x,ARNALDO GONTIJO DE FREITAS,ARNALDO GONTIJO,MG,MINAS GERAIS,PROS,DEPUTADO FEDERAL,EMPRESÁRIO,750,1
x,ROQUE BARBIERE,ROQUE BARBIERE ROQUINHO,SP,SÃO PAULO,AVANTE,DEPUTADO ESTADUAL,DEPUTADO,700,1
x,ELIAS BARBOSA DE BRITO,ELIAS BARBOSA,GO,GOIÁS,PSD,DEPUTADO ESTADUAL,OUTROS,700,1
x,MARIA DAS NEVES BARROS PINHEIRO,MARIA DAS NEVES,MA,MARANHÃO,PMB,DEPUTADO FEDERAL,DONA DE CASA,700,1
x,LUCIANO DA CONCEICAO,LUCIANO ROX,SP,SÃO PAULO,SOLIDARIEDADE,DEPUTADO FEDERAL,COMERCIANTE,700,1
x,CLAUDENOR MAGALHAES SANTANA DE SOUZA,PENINHA MAGALHAES,AC,ACRE,PATRIOTA,DEPUTADO ESTADUAL,OUTROS,700,1
x,WALTER ROJAS DE PAIVA,WALTERLUX S,AM,AMAZONAS,DC,DEPUTADO ESTADUAL,EMPRESÁRIO,680,1
x,HUGO BATISTA DA LUZ,IMBILINO,GO,GOIÁS,PDT,DEPUTADO ESTADUAL,OUTROS,"675,5",1
x,JOSE ANTONIO ALVES DE SOUSA,ZEZINHO DA VITALINA,MG,MINAS GERAIS,AVANTE,DEPUTADO FEDERAL,AGENTE ADMINISTRATIVO,600,1
x,DUCICLEIA SILVA DE ANDRADE,DUCICLEIA ANDRADE,RO,RONDÔNIA,PL,DEPUTADO ESTADUAL,AGRICULTOR,600,1
x,NILTON GOMES OLIVEIRA,DR NILTON BAIANO,ES,ESPÍRITO SANTO,UNIÃO,DEPUTADO ESTADUAL,MÉDICO,600,1
x,ADILSON BARROSO OLIVEIRA,ADILSON BARROSO,SP,SÃO PAULO,PL,DEPUTADO FEDERAL,EMPRESÁRIO,600,1
x,JULIANO DUARTE CAMPOS,JULIANO CAMPOS,SC,SANTA CATARINA,PSB,DEPUTADO ESTADUAL,ADMINISTRADOR,570,1
x,LERIS FELISBERTO BRAGA,LERIS BRAGA,MG,MINAS GERAIS,REDE,DEPUTADO ESTADUAL,EMPRESÁRIO,550,2
x,GLAUCO FERREIRA MARCOLINO,CORONEL GLAUCO,MG,MINAS GERAIS,PMN,DEPUTADO FEDERAL,SERVIDOR PÚBLICO ESTADUAL,500,1
x,SIMONE APARECIDA DOS PASSOS,SIMONE CABELELEIRA,MG,MINAS GERAIS,PTB,DEPUTADO FEDERAL,"CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA",500,1
x,SALVADOR DE SOUZA GOMES,SALVADOR DOS COCAIS,MG,MINAS GERAIS,REDE,DEPUTADO ESTADUAL,COMERCIANTE,500,1
x,JOSE LUIZ PIMENTA DE SOUZA,PIMENTA,ES,ESPÍRITO SANTO,PP,DEPUTADO ESTADUAL,AGRICULTOR,500,1
x,JOAO BENTO FERREIRA DA SILVA,JOÃO DA IDA,AC,ACRE,PROS,DEPUTADO ESTADUAL,OUTROS,500,1
x,AURENI BRAZ VILANOVA DE SOUSA,NENA BRAZ,DF,DISTRITO FEDERAL,PRTB,DEPUTADO DISTRITAL,OUTROS,500,1
x,RILDO GOMES DE OLIVEIRA,RILDO OLIVEIRA,AP,AMAPÁ,PP,DEPUTADO ESTADUAL,AGENTE ADMINISTRATIVO,500,1
x,ANA MARIA BATISTA DE UZEDA,ANA UZEDA,RJ,RIO DE JANEIRO,PROS,DEPUTADO ESTADUAL,ESTETICISTA,500,1
x,ADILSON ESPINDILA,ADILSON ESPINDULA,ES,ESPÍRITO SANTO,PDT,DEPUTADO ESTADUAL,OUTROS,500,1
x,OTAVIANO OLAVO PIVETTA,OTAVIANO PIVETTA,MT,MATO GROSSO,REPUBLICANOS,VICE-GOVERNADOR,PRODUTOR AGROPECUÁRIO,400,2
x,LAZARO BOTELHO MARTINS,LAZARO BOTELHO,TO,TOCANTINS,PP,DEPUTADO FEDERAL,DEPUTADO,360,1
x,JOAO BERNARDES DOS SANTOS,JOAO BERNARDES,PA,PARÁ,PSC,DEPUTADO FEDERAL,EMPRESÁRIO,302,1
x,CLAUDIOMIR JOSE MARTINS VIEIRA,CLAUDIOMIR DA MIRAINOX,MG,MINAS GERAIS,PSC,DEPUTADO ESTADUAL,EMPRESÁRIO,300,1
x,STEPHAN GOMES DE CARVALHO,TEFA,CE,CEARÁ,PP,DEPUTADO FEDERAL,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",300,1
x,WALDINEI CHICARELI DE ANDRADE,NEI CHICARELI,MG,MINAS GERAIS,DC,DEPUTADO ESTADUAL,EMPRESÁRIO,"260,6",1
x,ROBERTO MAGALHAES,BETO DA TOCA,MG,MINAS GERAIS,REDE,DEPUTADO ESTADUAL,VIGILANTE,214,1
x,HERBERT DE AMORIM CARDOSO,DELEGADO HERBERT,RR,RORAIMA,UNIÃO,DEPUTADO FEDERAL,POLICIAL CIVIL,200,1
x,NELITO PAIVA DUARTE,NÉLITO PAIVA,GO,GOIÁS,NOVO,DEPUTADO ESTADUAL,ADMINISTRADOR,200,1
x,ISAIAS DA SILVA CARVALHO,ISAIAS,AP,AMAPÁ,REDE,DEPUTADO FEDERAL,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,200,1
x,MARCELO CONRADO,MARCELO CONRADO,GO,GOIÁS,PATRIOTA,DEPUTADO FEDERAL,AGRÔNOMO,200,1
x,PEDRO PONTES DE ALCANTARA,PEDRO ABEHINHA,PB,PARAÍBA,PMB,DEPUTADO FEDERAL,VETERINÁRIO,200,1
x,SERGIO MELO RODRIGUES,SERJÃO,TO,TOCANTINS,PRTB,DEPUTADO ESTADUAL,APOSENTADO (EXCETO SERVIDOR PÚBLICO),200,1
x,ARMANDO MATTIELLO,A.MATTIELLO,MG,MINAS GERAIS,PTB,DEPUTADO FEDERAL,PRODUTOR AGROPECUÁRIO,150,1
x,JOAQUIM TOMAZ DE SOUZA NETO,QUINCA TOMAZ,TO,TOCANTINS,PDT,DEPUTADO ESTADUAL,ENGENHEIRO,120,1
x,TARCISIO PEREIRA DA COSTA,CHITÃOZINHO DE COROMANDEL,MG,MINAS GERAIS,PSC,DEPUTADO FEDERAL,OUTROS,100,1
x,WELIO NERES DOS SANTOS,WELIO NERES,BA,BAHIA,PTB,DEPUTADO FEDERAL,OUTROS,100,1
